名称	组	配置文件	已启用	操作	程序	本地地址	远程地址	协议	本地端口	远程端口	许可的计算机	
Windows Media Player 网络共享服务(Streaming-TCP-Out)	Windows Media Player 网络共享服务	域	否	允许	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	任何	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(Streaming-TCP-Out)	Windows Media Player 网络共享服务	专用	否	允许	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	本地子网	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(SSDP-Out)	Windows Media Player 网络共享服务	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
Windows Media Player 网络共享服务(SSDP-Out)	Windows Media Player 网络共享服务	域, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
Windows Media Player 网络共享服务(qWave-UDP-Out)	Windows Media Player 网络共享服务	公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	2177	任何	
Windows Media Player 网络共享服务(qWave-UDP-Out)	Windows Media Player 网络共享服务	域	否	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	任何	2177	任何	
Windows Media Player 网络共享服务(qWave-UDP-Out)	Windows Media Player 网络共享服务	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	2177	任何	
Windows Media Player 网络共享服务(qWave-TCP-Out)	Windows Media Player 网络共享服务	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	2177	任何	
Windows Media Player 网络共享服务(qWave-TCP-Out)	Windows Media Player 网络共享服务	公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	2177	任何	
Windows Media Player 网络共享服务(qWave-TCP-Out)	Windows Media Player 网络共享服务	域	否	允许	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	任何	2177	任何	
Windows Media Player 网络共享服务(HTTP-Streaming-Out)	Windows Media Player 网络共享服务	域	否	允许	System	任何	任何	TCP	任何	10243	任何	
Windows Media Player 网络共享服务(HTTP-Streaming-Out)	Windows Media Player 网络共享服务	专用	否	允许	System	任何	本地子网	TCP	任何	10243	任何	
Windows Media Player 网络共享服务(HTTP-Streaming-Out)	Windows Media Player 网络共享服务	公用	否	允许	System	任何	本地子网	TCP	任何	10243	任何	
Windows Media Player x86 (UDP-Out)	Windows Media Player	域, 公用	否	允许	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	
Windows Media Player x86 (UDP-Out)	Windows Media Player	专用	否	允许	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	
Windows Media Player x86 (TCP-Out)	Windows Media Player	域, 公用	否	允许	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	任何	任何	TCP	任何	任何	任何	
Windows Media Player x86 (TCP-Out)	Windows Media Player	专用	否	允许	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	任何	任何	TCP	任何	任何	任何	
Windows Media Player (UDP-Out)	Windows Media Player	域, 公用	否	允许	%ProgramFiles%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	
Windows Media Player (UDP-Out)	Windows Media Player	专用	否	允许	%ProgramFiles%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	
Windows Media Player (TCP-Out)	Windows Media Player	专用	否	允许	%ProgramFiles%\Windows Media Player\wmplayer.exe	任何	任何	TCP	任何	任何	任何	
Windows Media Player (TCP-Out)	Windows Media Player	域, 公用	否	允许	%ProgramFiles%\Windows Media Player\wmplayer.exe	任何	任何	TCP	任何	任何	任何	
Windows Management Instrumentation (WMI-Out)	Windows Management Instrumentation (WMI)	专用, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
Windows Management Instrumentation (WMI-Out)	Windows Management Instrumentation (WMI)	域	否	允许	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	任何	任何	任何	
Media Center Extender - 设备验证(TCP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\ehome\mcrmgr.exe	任何	任何	TCP	任何	任何	任何	
Media Center Extender - 设备配置(TCP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\ehome\mcx2prov.exe	任何	任何	TCP	任何	任何	任何	
Media Center Extender - 媒体流(UDP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	
Media Center Extender - 媒体流(TCP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
Media Center Extender - 服务(TCP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
Media Center Extender - WMDRM-ND/RTP/RTCP (UDP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\ehome\ehshell.exe	任何	本地子网	UDP	任何	任何	任何	
Media Center Extender - UPnP (TCP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
Media Center Extender - SSDP (UDP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
Media Center Extender - RTSP (TCP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\ehome\ehshell.exe	任何	本地子网	TCP	任何	任何	任何	
Media Center Extender - qWave (UDP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	2177	任何	
Media Center Extender - qWave (TCP-Out)	Media Center Extender	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	2177	任何	
iSCSI 服务(TCP-Out)	iSCSI 服务	域	否	允许	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	任何	任何	任何	
iSCSI 服务(TCP-Out)	iSCSI 服务	专用, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
BranchCache 托管缓存客户端(HTTP-Out)	BranchCache - 托管缓存客户端(使用 HTTPS)	所有	否	允许	SYSTEM	任何	任何	TCP	任何	443	任何	
BranchCache 托管缓存服务器(HTTP-Out)	BranchCache - 托管缓存服务器(使用 HTTPS)	所有	否	允许	SYSTEM	任何	任何	TCP	443	任何	任何	
BranchCache 内容检索(HTTP-Out)	BranchCache - 内容检索(使用 HTTP)	所有	否	允许	SYSTEM	任何	任何	TCP	任何	80	任何	
BranchCache 对等机发现(WSD-Out)	BranchCache - 对等机发现(使用 WSD)	所有	否	允许	%systemroot%\system32\svchost.exe	任何	本地子网	UDP	任何	3702	任何	
block all		所有	否	阻止	任何	任何	任何	任何	任何	任何	任何	
